0	19962	7.78	-2.45
1	19962	7.4	-2.33
2	19962	7.02	-2.21
3	19962	6.63	-2.09
4	19962	6.25	-1.97
5	19962	5.87	-1.85
6	19962	5.49	-1.73
7	19962	5.11	-1.61
8	19962	4.73	-1.49
0	19963	-1.12	-8.05
1	19963	-1.06	-7.65
2	19963	-1.01	-7.26
3	19963	-0.95	-6.86
4	19963	-0.9	-6.46
5	19963	-0.84	-6.07
6	19963	-0.79	-5.67
7	19963	-0.73	-5.28
8	19963	-0.68	-4.88
0	19964	-4.2	7.03
1	19964	-4.0	6.68
2	19964	-3.79	6.34
3	19964	-3.58	6.0
4	19964	-3.38	5.65
5	19964	-3.17	5.31
6	19964	-2.96	4.97
7	19964	-2.74	4.64
8	19964	-2.51	4.31
0	19965	-7.02	4.6
1	19965	-6.69	4.38
2	19965	-6.35	4.16
3	19965	-6.02	3.95
4	19965	-5.69	3.73
5	19965	-5.35	3.51
6	19965	-5.03	3.28
7	19965	-4.71	3.05
8	19965	-4.4	2.82
0	19966	5.13	6.25
1	19966	4.89	5.94
2	19966	4.65	5.62
3	19966	4.42	5.3
4	19966	4.18	4.97
5	19966	3.95	4.65
6	19966	3.72	4.33
7	19966	3.49	4.0
8	19966	3.26	3.68
0	19967	3.63	7.23
1	19967	3.43	6.88
2	19967	3.24	6.53
3	19967	3.04	6.19
4	19967	2.84	5.84
5	19967	2.64	5.5
6	19967	2.44	5.15
7	19967	2.24	4.81
8	19967	2.03	4.47
21	19962	8.92	-2.82
22	19962	8.54	-2.7
23	19962	8.16	-2.57
24	19962	7.78	-2.45
25	19962	7.4	-2.33
26	19962	7.02	-2.21
27	19962	6.63	-2.09
28	19962	6.25	-1.97
29	19962	5.87	-1.85
21	19963	-1.29	-9.24
22	19963	-1.23	-8.84
23	19963	-1.17	-8.45
24	19963	-1.12	-8.05
25	19963	-1.06	-7.65
26	19963	-1.01	-7.26
27	19963	-0.95	-6.86
28	19963	-0.9	-6.46
29	19963	-0.84	-6.07
21	19964	-4.82	8.06
22	19964	-4.61	7.71
23	19964	-4.41	7.37
24	19964	-4.2	7.03
25	19964	-4.0	6.68
26	19964	-3.79	6.34
27	19964	-3.58	6.0
28	19964	-3.38	5.65
29	19964	-3.17	5.31
21	19965	-8.03	5.26
22	19965	-7.69	5.04
23	19965	-7.36	4.82
24	19965	-7.02	4.6
25	19965	-6.69	4.38
26	19965	-6.35	4.16
27	19965	-6.02	3.95
28	19965	-5.69	3.73
29	19965	-5.35	3.51
21	19966	5.87	7.2
22	19966	5.62	6.88
23	19966	5.37	6.57
24	19966	5.13	6.25
25	19966	4.89	5.94
26	19966	4.65	5.62
27	19966	4.42	5.3
28	19966	4.18	4.97
29	19966	3.95	4.65
21	19967	4.19	8.28
22	19967	4.01	7.93
23	19967	3.82	7.58
24	19967	3.63	7.23
25	19967	3.43	6.88
26	19967	3.24	6.53
27	19967	3.04	6.19
28	19967	2.84	5.84
29	19967	2.64	5.5
42	19962	8.92	-2.82
43	19962	8.54	-2.7
44	19962	8.16	-2.57
45	19962	7.78	-2.45
46	19962	7.4	-2.33
47	19962	7.02	-2.21
48	19962	6.63	-2.09
49	19962	6.25	-1.97
50	19962	5.87	-1.85
42	19963	-1.29	-9.24
43	19963	-1.23	-8.84
44	19963	-1.17	-8.45
45	19963	-1.12	-8.05
46	19963	-1.06	-7.65
47	19963	-1.01	-7.26
48	19963	-0.95	-6.86
49	19963	-0.9	-6.46
50	19963	-0.84	-6.07
42	19964	-4.82	8.06
43	19964	-4.61	7.71
44	19964	-4.41	7.37
45	19964	-4.2	7.03
46	19964	-4.0	6.68
47	19964	-3.79	6.34
48	19964	-3.58	6.0
49	19964	-3.38	5.65
50	19964	-3.17	5.31
42	19965	-8.03	5.26
43	19965	-7.69	5.04
44	19965	-7.36	4.82
45	19965	-7.02	4.6
46	19965	-6.69	4.38
47	19965	-6.35	4.16
48	19965	-6.02	3.95
49	19965	-5.69	3.73
50	19965	-5.35	3.51
42	19966	5.87	7.2
43	19966	5.62	6.88
44	19966	5.37	6.57
45	19966	5.13	6.25
46	19966	4.89	5.94
47	19966	4.65	5.62
48	19966	4.42	5.3
49	19966	4.18	4.97
50	19966	3.95	4.65
42	19967	4.19	8.28
43	19967	4.01	7.93
44	19967	3.82	7.58
45	19967	3.63	7.23
46	19967	3.43	6.88
47	19967	3.24	6.53
48	19967	3.04	6.19
49	19967	2.84	5.84
50	19967	2.64	5.5
63	19968	-0.01	-1.78
64	19968	0.2	-1.26
65	19968	0.43	-0.79
66	19968	0.65	-0.32
67	19968	0.88	0.15
68	19968	0.99	0.69
69	19968	0.92	1.09
70	19968	0.85	1.48
71	19968	0.77	1.88
63	19969	-2.33	-1.38
64	19969	-1.86	-1.16
65	19969	-1.29	-0.96
66	19969	-0.73	-0.75
67	19969	-0.16	-0.55
68	19969	0.39	-0.35
69	19969	0.76	-0.17
70	19969	1.12	0.01
71	19969	1.47	0.19
63	19970	-2.77	1.06
64	19970	-2.48	1.08
65	19970	-2.23	1.14
66	19970	-1.97	1.2
67	19970	-1.72	1.26
68	19970	-1.47	1.31
69	19970	-1.16	1.28
70	19970	-0.78	1.19
71	19970	-0.38	1.08
63	19971	0.79	1.89
64	19971	0.49	1.54
65	19971	0.3	1.31
66	19971	0.1	1.09
67	19971	-0.09	0.86
68	19971	-0.29	0.63
69	19971	-0.51	0.28
70	19971	-0.73	-0.09
71	19971	-0.96	-0.46
63	19972	1.6	-1.87
64	19972	1.41	-1.76
65	19972	1.24	-1.7
66	19972	1.07	-1.64
67	19972	0.9	-1.57
68	19972	0.73	-1.51
69	19972	0.55	-1.35
70	19972	0.39	-1.07
71	19972	0.22	-0.79
84	19973	-3.48	-7.87
85	19973	-3.32	-7.5
86	19973	-3.15	-7.13
87	19973	-2.99	-6.77
88	19973	-2.83	-6.4
89	19973	-2.67	-6.04
90	19973	-2.51	-5.67
91	19973	-2.35	-5.31
92	19973	-2.2	-4.94
84	19974	6.92	5.27
85	19974	6.6	5.02
86	19974	6.28	4.78
87	19974	5.96	4.54
88	19974	5.65	4.3
89	19974	5.33	4.06
90	19974	5.01	3.82
91	19974	4.69	3.59
92	19974	4.37	3.37
84	19975	1.89	-7.95
85	19975	1.79	-7.56
86	19975	1.7	-7.17
87	19975	1.61	-6.78
88	19975	1.52	-6.39
89	19975	1.42	-6.01
90	19975	1.33	-5.62
91	19975	1.24	-5.23
92	19975	1.16	-4.83
84	19976	8.27	1.89
85	19976	7.88	1.8
86	19976	7.49	1.71
87	19976	7.1	1.62
88	19976	6.71	1.53
89	19976	6.32	1.44
90	19976	5.93	1.34
91	19976	5.54	1.24
92	19976	5.16	1.13
105	19973	-2.05	-4.59
106	19973	-1.91	-4.24
107	19973	-1.76	-3.9
108	19973	-1.61	-3.57
109	19973	-1.46	-3.23
110	19973	-1.31	-2.9
111	19973	-1.16	-2.56
112	19973	-1.02	-2.22
113	19973	-0.95	-1.86
105	19974	4.05	3.16
106	19974	3.73	2.95
107	19974	3.43	2.74
108	19974	3.13	2.52
